TransectID,Year,GT_dist_m,PostMonsoon_dist_m,Seasonal_displacement_m,Class
1,2021,,,,Stable
2,2021,,,,High Erosion
3,2021,-113.93,-150.0,36.06999999999999,High Erosion
4,2021,-172.76,-110.0,-62.75999999999999,High Erosion
8,2021,,,,High Accretion
9,2021,-30.85,10.0,-40.85,Moderate Accretion
10,2021,-34.98,20.0,-54.98,Moderate Accretion
13,2021,-39.01,0.0,-39.01,Stable
14,2021,-78.13,-0.0,-78.13,Stable
15,2021,-86.95,-0.0,-86.95,High Erosion
16,2021,-126.07,-0.0,-126.07,Moderate Erosion
17,2021,-200.91,-150.0,-50.91,Moderate Erosion
18,2021,-202.85,0.0,-202.85,High Accretion
19,2021,-235.27,0.0,-235.27,High Erosion
23,2021,-308.93,-0.0,-308.93,High Accretion
24,2021,-358.14,-0.0,-358.14,Stable
27,2021,-443.68,0.0,-443.68,High Erosion
28,2021,-435.45,0.0,-435.45,Stable
29,2021,-478.04,0.0,-478.04,Stable
30,2021,,0.0,,Stable
32,2021,,,,Stable
33,2021,,0.0,,Stable
35,2021,,-0.0,,Stable
36,2021,,-0.0,,Stable
37,2021,,-0.0,,Stable
38,2021,,0.0,,Stable
40,2021,-218.76,0.0,-218.76,Stable
41,2021,-1.95,-0.0,-1.95,Moderate Erosion
42,2021,16.12,40.0,-23.88,High Accretion
44,2021,-373.29,-380.0,6.7099999999999795,High Erosion
45,2021,1.5,-20.0,21.5,Moderate Accretion
46,2021,,,,Stable
47,2021,16.11,0.05,16.06,Stable
48,2021,-6.15,-10.0,3.8499999999999996,Moderate Erosion
52,2021,-44.87,-20.0,-24.869999999999997,High Erosion
55,2021,-10.52,-410.0,399.48,High Accretion
57,2021,-4.72,-350.0,345.28,High Accretion
59,2021,-52.44,-50.0,-2.4399999999999977,High Erosion
60,2021,-21.18,-10.0,-11.18,High Accretion
63,2021,2.45,-240.0,242.45,High Accretion
64,2021,-16.57,-20.0,3.4299999999999997,High Erosion
65,2021,-15.4,-20.0,4.6,High Erosion
66,2021,16.55,20.0,-3.4499999999999993,High Accretion
67,2021,-36.19,-100.0,63.81,High Erosion
68,2021,2.03,-50.0,52.03,High Accretion
69,2021,-10.99,-10.0,-0.9900000000000002,Moderate Accretion
70,2021,0.55,0.0,0.55,Moderate Erosion
75,2021,-464.45,-470.0,5.550000000000011,Stable
76,2021,,-290.0,,Moderate Erosion
79,2021,118.94,-320.0,438.94,Stable
81,2021,,-0.0,,High Accretion
83,2021,,0.0,,High Accretion
84,2021,-341.99,,,High Erosion
88,2021,-89.28,-0.0,-89.28,High Accretion
89,2021,305.12,10.0,295.12,High Accretion
90,2021,-301.05,-0.0,-301.05,High Accretion
93,2021,-375.55,10.0,-385.55,Moderate Erosion
96,2021,-217.17,250.0,-467.16999999999996,High Accretion
97,2021,,140.0,,High Erosion
98,2021,,140.0,,Stable
100,2021,,-260.0,,High Accretion
101,2021,,20.0,,High Accretion
106,2021,484.06,,,High Erosion
107,2021,,-250.0,,High Erosion
123,2021,-17.46,-210.0,192.54,High Erosion
126,2021,-130.68,-180.0,49.31999999999999,High Accretion
128,2021,-140.85,220.0,-360.85,High Accretion
129,2021,135.21,210.0,-74.78999999999999,Moderate Erosion
131,2021,-94.99,0.0,-94.99,High Erosion
134,2021,-45.52,-70.0,24.479999999999997,High Accretion
136,2021,-94.8,-60.0,-34.8,High Erosion
137,2021,-136.56,,,Moderate Erosion
138,2021,-71.1,-70.0,-1.0999999999999943,High Accretion
143,2021,,-50.0,,High Accretion
147,2021,,-11.9,,High Erosion
148,2021,-38.26,30.0,-68.25999999999999,High Accretion
150,2021,,10.0,,Moderate Accretion
151,2021,-12.56,20.0,-32.56,Moderate Accretion
157,2021,,30.0,,High Accretion
158,2021,,20.0,,High Accretion
161,2021,-92.9,-0.0,-92.9,High Accretion
165,2021,-64.68,20.0,-84.68,High Accretion
167,2021,-3.51,0.0,-3.51,High Erosion
