TransectID,Year,n_intersection_points,is_multipoint,OLD_monsoon_dist_m,NEW_monsoon_dist_m,PostMonsoon_dist_m,GT_dist_m,OLD_abs_error_m,NEW_abs_error_m
1,2021,0,False,,,,,,
2,2021,0,False,,,,,,
3,2021,2,True,-124.03267400478933,-124.03267400478933,-150.0,-113.93,10.102674004789321,10.102674004789321
4,2021,2,True,-182.85815125191584,-132.3687668745406,-110.0,-172.76,10.098151251915851,40.391233125459394
8,2021,0,False,,,,,,
9,2021,2,True,-41.0142811818514,9.792929434858024,10.0,-30.85,10.1642811818514,40.642929434858026
10,2021,2,True,-55.174078879412264,5.413182373158634,20.0,-34.98,20.194078879412267,40.39318237315863
13,2021,1,False,-59.20358937140554,-59.20358937140554,0.0,-39.01,20.193589371405544,20.193589371405544
14,2021,1,False,-47.833310782081526,-47.833310782081526,-0.0,-78.13,30.29668921791847,30.29668921791847
15,2021,1,False,-137.4418042644511,-137.4418042644511,-0.0,-86.95,50.49180426445109,50.49180426445109
16,2021,1,False,-136.1694063716676,-136.1694063716676,-0.0,-126.07,10.099406371667612,10.099406371667612
17,2021,3,True,,-129.78352005814793,-150.0,-200.91,,71.12647994185207
18,2021,3,True,,-223.17380587975993,0.0,-202.85,,20.32380587975993
19,2021,1,False,-255.5954413611139,-255.5954413611139,0.0,-235.27,20.32544136111389,20.32544136111389
23,2021,1,False,-329.122261689521,-329.122261689521,-0.0,-308.93,20.19226168952099,20.19226168952099
24,2021,3,True,,-358.1434894315895,-0.0,-358.14,,0.0034894315895144246
27,2021,1,False,-463.99983679264574,-463.99983679264574,0.0,-443.68,20.31983679264573,20.31983679264573
28,2021,1,False,-476.0985946379151,-476.0985946379151,0.0,-435.45,40.648594637915096,40.648594637915096
29,2021,1,False,-498.3587839146276,-498.3587839146276,0.0,-478.04,20.318783914627602,20.318783914627602
30,2021,1,False,,,0.0,,,
32,2021,1,False,,,,,,
33,2021,2,True,,,0.0,,,
35,2021,2,True,,433.4872987699051,-0.0,,,
36,2021,2,True,,303.48729929359104,-0.0,,,
37,2021,2,True,173.48730058977503,173.48730058977503,-0.0,,,
38,2021,3,True,,,0.0,,,
40,2021,2,True,-249.05751203931868,13.487286721821874,0.0,-218.76,30.29751203931869,232.24728672182187
41,2021,3,True,-12.106744453389524,-12.106744453389524,-0.0,-1.95,10.156744453389525,10.156744453389525
42,2021,3,True,36.4402914410457,36.4402914410457,40.0,16.12,20.3202914410457,20.3202914410457
44,2021,2,True,-393.48728701937944,-393.48728701937944,-380.0,-373.29,20.197287019379417,20.197287019379417
45,2021,2,True,,11.60231053223822,-20.0,1.5,,10.10231053223822
46,2021,2,True,,12.776833251584321,,,,
47,2021,3,True,26.269421718858553,26.269421718858553,0.05,16.11,10.159421718858553,10.159421718858553
48,2021,1,False,14.170690681144947,14.170690681144947,-10.0,-6.15,20.320690681144946,20.320690681144946
52,2021,1,False,-14.385741900186986,-14.385741900186986,-20.0,-44.87,30.48425809981301,30.48425809981301
55,2021,1,False,-10.520542707585264,-10.520542707585264,-410.0,-10.52,0.0005427075852644236,0.0005427075852644236
57,2021,1,False,15.604845917958528,15.604845917958528,-350.0,-4.72,20.324845917958527,20.324845917958527
59,2021,3,True,-22.15011213812477,-22.15011213812477,-50.0,-52.44,30.28988786187523,30.28988786187523
60,2021,1,False,-0.8528386756079271,-0.8528386756079271,-10.0,-21.18,20.327161324392073,20.327161324392073
63,2021,1,False,12.547961981967092,12.547961981967092,-240.0,2.45,10.097961981967092,10.097961981967092
64,2021,1,False,-26.66902284324169,-26.66902284324169,-20.0,-16.57,10.099022843241691,10.099022843241691
65,2021,1,False,-25.494483887274896,-25.494483887274896,-20.0,-15.4,10.094483887274896,10.094483887274896
66,2021,3,True,36.87755985284468,36.87755985284468,20.0,16.55,20.327559852844683,20.327559852844683
67,2021,3,True,,-5.70551390433684,-100.0,-36.19,,30.484486095663158
68,2021,1,False,-38.61148885993623,-38.61148885993623,-50.0,2.03,40.64148885993623,40.64148885993623
69,2021,1,False,9.203589729499072,9.203589729499072,-10.0,-10.99,20.193589729499074,20.193589729499074
70,2021,1,False,-29.93554848874919,-29.93554848874919,0.0,0.55,30.485548488749192,30.485548488749192
75,2021,11,True,,-434.1573414313607,-470.0,-464.45,,30.292658568639297
76,2021,12,True,-369.28977977560135,-328.64401128224563,-290.0,,,
79,2021,3,True,-307.83680147636915,-307.83680147636915,-320.0,118.94,426.77680147636914,426.77680147636914
81,2021,5,True,-121.88961459929124,-20.910845845006406,-0.0,,,
83,2021,3,True,441.37911603186524,-15.885779518343043,0.0,,,
84,2021,8,True,-49.14905993928801,-49.14905993928801,,-341.99,292.840940060712,292.840940060712
88,2021,6,True,,21.79173790058121,-0.0,-89.28,,111.07173790058121
89,2021,5,True,-38.20826245145872,-38.20826245145872,10.0,305.12,343.3282624514587,343.3282624514587
90,2021,5,True,,-18.306139235850424,-0.0,-301.05,,282.7438607641496
93,2021,2,True,-426.03841192880645,-82.71059816377237,10.0,-375.55,50.48841192880644,292.83940183622764
96,2021,2,True,-166.36069435137335,189.28977996547462,250.0,-217.17,50.80930564862663,406.4597799654746
97,2021,2,True,-33.293293864349835,-33.293293864349835,140.0,,,
98,2021,6,True,245.23059959575767,123.29329411569051,140.0,,,
100,2021,2,True,-335.7149254612159,-335.7149254612159,-260.0,,,
101,2021,8,True,,-30.87166220805375,20.0,,,
106,2021,7,True,272.0040504108183,70.04651290224865,,484.06,212.0559495891817,414.01348709775135
107,2021,4,True,,,-250.0,,,
123,2021,0,False,,,-210.0,-17.46,,
126,2021,0,False,,,-180.0,-130.68,,
128,2021,2,True,113.18832120066509,123.34976332401857,220.0,-140.85,254.03832120066508,264.1997633240186
129,2021,6,True,,185.6951055591927,210.0,135.21,,50.485105559192704
131,2021,6,True,,-24.304894705768675,0.0,-94.99,,70.68510529423132
134,2021,4,True,-136.97312038915697,-55.68158340244554,-70.0,-45.52,91.45312038915696,10.161583402445537
136,2021,2,True,-3.3497639056296293,-3.3497639056296293,-60.0,-94.8,91.45023609437037,91.45023609437037
137,2021,2,True,-126.45818582363427,4.814213557168955,,-136.56,10.101814176365735,141.37421355716896
138,2021,0,False,,,-70.0,-71.1,,
143,2021,0,False,,,-50.0,,,
147,2021,2,True,,,-11.9,,,
148,2021,2,True,-48.41668784467038,2.390522772038935,30.0,-38.26,10.15668784467038,40.65052277203893
150,2021,0,False,,,10.0,,,
151,2021,2,True,7.7615081233670935,7.7615081233670935,20.0,-12.56,20.321508123367096,20.321508123367096
157,2021,4,True,449.54394605522975,449.54394605522975,30.0,,,
158,2021,2,True,,,20.0,,,
161,2021,2,True,-103.06452621269273,-42.095873472630046,-0.0,-92.9,10.16452621269272,50.80412652736996
165,2021,0,False,,,20.0,-64.68,,
167,2021,2,True,-13.604672908782959,-13.604672908782959,0.0,-3.51,10.09467290878296,10.09467290878296
168,2021,2,True,-15.473083218093961,-15.473083218093961,20.0,4.85,20.323083218093963,20.323083218093963
170,2021,4,True,-182.88831785786908,-41.51804160187032,-10.0,-192.99,10.101682142130926,151.4719583981297
