Point_ID,Longitude,Latitude,MNDWI,Predicted_Class,True_Class,Reproduced_Class
0,84.9512060521518,19.3098709370838,-0.3406,Land,Land,Land
1,85.0084287357502,19.3686207566652,-0.4238,Land,Land,Land
2,84.9520145359075,19.2940605880833,-0.3841,Land,Land,Land
3,85.0212746443131,19.3844311056657,-0.3924,Land,Land,Land
4,84.9661180858682,19.3224473510615,-0.5014,Land,Land,Land
5,84.8615541867967,19.218332609632,-0.3277,Land,Land,Land
6,84.8830239220872,19.2393531872804,-0.3595,Land,Land,Land
7,84.9167107452416,19.2833706362023,-0.3368,Land,Land,Land
8,84.888234150735,19.2548940416957,-0.2667,Land,Land,Land
9,84.9778860160902,19.3552358589318,-0.402,Land,Land,Land
10,84.994415017318,19.3494866411135,-0.3215,Land,Land,Land
11,84.9718673036866,19.3379882054767,-0.4521,Land,Land,Land
12,84.9614468463908,19.3103200947259,-0.1887,Land,Land,Land
13,84.9451873397482,19.2927131151571,-0.1709,Land,Land,Land
14,84.9971099631703,19.3617935605059,-0.4153,Land,Land,Land
15,84.9889352940848,19.3650274955287,-0.3666,Land,Land,Land
16,85.0226221172393,19.3917074594671,-0.3577,Land,Land,Land
17,84.8766458835699,19.2411498178486,-0.3124,Land,Land,Land
18,84.9998049090227,19.3758971104666,-0.3903,Land,Land,Land
19,85.0075304204661,19.3858684101203,-0.421,Land,Land,Land
20,84.9697113470047,19.3241541501013,-0.2936,Land,Land,Land
21,84.9158124299575,19.2713332113951,-0.3139,Land,Land,Land
22,84.9888454625564,19.3523612500226,-0.2441,Land,Land,Land
23,84.9753707332946,19.3492171465282,-0.3403,Land,Land,Land
24,84.9338685671683,19.2806756903499,-0.4543,Land,Land,Land
25,84.9436602037652,19.2983725014471,-0.4196,Land,Land,Land
26,84.9326109257706,19.2854367613557,-0.4858,Land,Land,Land
27,84.8958698306501,19.247977014008,-0.4325,Land,Land,Land
28,84.9625248247317,19.3046607084359,-0.3718,Land,Land,Land
29,84.9273108655942,19.2946894087822,-0.2743,Land,Land,Land
30,84.8759272313426,19.2335141379336,-0.3091,Land,Land,Land
31,84.9123988318779,19.260194101872,-0.2589,Land,Land,Land
